COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
CW807,Sport Coaching and Business Management - GAA (portfolio),700,,700,700,,,,6/7
CW808,Media and Public Relations,251,,298,251,,,,8
CW817,Sport Coaching and Business Management - Rugby (portfolio),700,,700,700,,,,6/7
CW827,Sport Coaching and Business Management - Soccer (portfolio),700,,700,700,,,,6/7
CW837,Digital Marketing with Analytics,200,,356,200,,,,6/7
CW848,Digital Marketing with Analytics,269,,326,254,,,,8
CW858,"Sports Management and Coaching (options, portfolio)",700,,700,700,,,,8
CW906,Business,177,,297,177,,,,6/7
CW908,Business (options),280,,357,280,,,,8
CW917,Business (options),224,,378,224,,,,6/7
CW926,Business with Law,210,,409,210,,,,6/7
CW936,Accounting,231,,403,231,,,,6/7
CW938,Business with Law,283,,301,283,,,,8
CW948,Accounting,300,,364,300,,,,8
DB500,Computing,218,,301,218,,218,,8
DB501,Computing (Cloud Computing),227,,280,227,,227,,8
DB502,Computing (Data Analytics and Big Data),334,,377,341,,341,,8
DB503,Computing (Software Development),225,,281,225,,225,,8
DB504,Computing (Web and Mobile Technology),281,,281,,,281,,8
DB510,Audio Production and Music Project Management,223,,290,234,,223,,8
DB512,Business Studies,203,,308,218,,203,,8
DB514,Business Studies (Law),251,,270,252,,,,8
DB515,Business Studies (Human Resource Management),244,,326,244,,244,,8
DB516,Financial Services,,,,,,,,8
DB517,Marketing (Event Management),238,,309,238,,,,8
DB521,Accounting and Finance,195,,318,225,,195,,8
DB524,Business (Information Systems),309,,409,342,,309,,8
DB526,Business (Cloud Computing),347,,423,347,,,,8
DB527,Applied Social Care,234,,306,234,,260,,8
DB528,Applied Social Care,AQA,,337,AQA,,AQA,,6/7
DB531,Marketing,293,,336,293,,,,8
DB534,Sound Engineering and Music Production,AQA,,338,AQA,,AQA,,6/7
DB562,Psychology,229,,322,243,,229,,8
DB563,Arts,161,,357,161,,189,,6/7
DB566,Social Science,220,,290,220,,227,,8
DB567,Film and Creative Media,202,,290,218,,202,,8
DB568,Law,217,,309,219,,252,,8
DB569,Business (Psychology),252,,284,252,,,,8
DB571,Business Studies,122,,398,173,,211,,6/7
DB572,Business in Accounting,117,,368,119,,117,,6/7
DB573,Business in Marketing,117,,388,117,,146,,6/7
DB574,Business in Information Technology,136,,388,136,,388,,6/7
DB576,Film and Creative Media,AQA,,338,AQA,,AQA,,6/7
DC001,Education - Early Childhood Education,440,,462,440,,,,8
DC002,Education - Primary Teaching,488,,520,488,,,,8
DC003,Education - Primary Teaching - Gaeltacht Applicants,445,,462,445,,,,8
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),409,,463,411,,409,,8
DC009,Arts (Joint Honours) - Humanities,376,,423,376,,,,8
DC010,Post Primary Teacher Education - Religious Education and English,429,,465,441,,429,,8
DC011,Post Primary Teacher Education - Religious Education and History,391,,429,412,,391,,8
DC012,Post Primary Teacher Education - Religious Education and Music,378,,420,378,,,,8
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,,487,419,,,,8
DC014,BA in Jazz and Contemporary Music Performance (audition),419,,605,419,,,,8
DC110,Business Studies International,465,,488,465,,,,8
DC111,Business Studies,488,,507,488,,,,8
DC112,Global Business (France),510,,532,517,,510,,8
DC113,Global Business (Germany),462,,496,462,,,,8
DC114,Global Business (Spain),522,,545,522,,,,8
DC115,Accounting and Finance,510,,544,510,,,,8
DC116,Global Business (USA),579,,601,579,,,,8
DC117,Aviation Management / Aviation Management with Pilot Studies,475,,500,476,,475,,8
DC118,Gnó agus Gaeilge / Business and Irish,359,,429,359,,,,8
DC119,Global Business (Canada),564,,577,564,,,,8
DC120,Enterprise Computing,357,,392,357,,,,8
DC121,Computer Applications,400,,455,400,,,,8
DC123,Data Science,465,,531,465,,,,8
DC126,Actuarial Mathematics,560,,578,560,,,,8
DC127,Common Entry into Actuarial and Financial Mathematics,520,,543,532,,520,,8
DC131,Communication Studies,402,,451,407,,402,,8
DC132,Journalism,422,,466,429,,422,,8
DC133,Multimedia,410,,451,411,,410,,8
DC155,Applied Language and Translation Studies,387,,444,387,,,,8
DC161,Analytical Science,489,,510,498,*,489,,8
DC162,Chemical and Pharmaceutical Sciences,521,,544,521,,,,8
DC166,Environmental Science and Technology,399,,441,433,,399,,8
DC168,Genetics and Cell Biology,510,,529,512,*,510,,8
DC175,Physics General Entry (options),402,,467,419,,402,,8
DC181,Biotechnology,495,,511,499,,495,,8
DC190,Electronic and Computer Engineering (with choice of four majors),413,,465,413,,,,8
DC193,Mechatronic Engineering,411,,487,411,,,,8
DC195,Mechanical and Manufacturing Engineering,425,,487,425,,,,8
DC197,Biomedical Engineering,423,,477,423,,,,8
DC200,Common Entry into Engineering (Undenominated Entry),422,,487,422,,,,8
DC201,Common Entry into Science (Undenominated Entry),488,,499,498,*,488,,8
DC202,Sport Science and Health,498,*,521,500,,498,*,8
DC203,Science Education,435,,487,435,,,,8
DC204,Athletic Therapy and Training,519,,533,522,,519,,8
DC205,Physical Education with Biology,531,,553,531,,,,8
DC206,Physical Education with Mathematics,499,,520,499,,,,8
DC208,Psychology,521,,533,532,,521,,8
DC209,Health and Society,440,,466,465,,440,,8
DC215,General Nursing,433,,462,454,,433,,8
DC216,Mental Health Nursing,403,,424,418,,403,,8
DC217,Intellectual Disability Nursing,370,,390,370,,,,8
DC218,Children`s and General Nursing (Integrated),498,,522,500,,498,,8
DC230,"Economics, Politics and Law",435,,462,435,,,,8
DC231,International Relations,397,,433,397,,,,8
DC232,Law and Society (BCL),466,,496,466,,,,8
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,,357,309,,,,8
DC238,Social Sciences and Cultural Innovation,377,,411,377,,,,8
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,,473,430,,,,8
DC240,"Marketing, Innovation and Technology",474,,498,476,,474,,8
DC291,Arts (Joint Honours) - Media Studies,376,,409,376,,,,8
DC292,Arts (Joint Honours) - Law,403,,430,403,,,,8
DC293,Arts (Joint Honours) - International Languages,377,,466,377,,,,8
DC295,Arts (Joint Honours) - Politics,376,,409,376,,,,8
DK710,Business and Management,120,,352,120,,120,,6/7
DK711,Business and Technology,191,,327,191,,,,6/7
DK712,Digital Marketing and Public Relations,100,,349,100,,100,,6/7
DK721,Computing,106,,326,106,,106,,6/7
DK722,Augmented and Virtual Reality,144,,348,144,,144,,6/7
DK730,Building Surveying,165,,330,165,,,,6/7
DK731,Architectural Technology,332,,392,332,,,,6/7
DK732,Construction Management,120,,321,120,,,,6/7
DK740,Engineering - Electrical and Electronic Systems,179,,339,179,,179,,6/7
DK742,Engineering - Mechanical Engineering,166,,312,166,,166,,6/7
DK744,Engineering - Civil Engineering,157,,341,190,,157,,6/7
DK750,Hospitality Management,176,,279,176,,176,,6/7
DK752,Event Management,175,,347,175,,175,,6/7
DK753,Culinary Arts,182,,387,182,,182,,6/7
DK763,"Sport, Exercise and Enterprise",225,,329,233,,,,6/7
DK767,Community Youth Work (interview),240,,330,240,,240,,6/7
DK768,Audio and Music Production,261,,361,261,,,,6/7
DK769,Creative Media,165,,318,165,,165,,6/7
DK770,Theatre & Film Practice,190,,388,190,,190,,6/7
DK771,Musical Theatre (audition),,,,,,,,6/7
DK781,Science - Bioscience,208,,381,358,,328,,6/7
DK783,Science - Pharmaceutical Science,210,,362,349,,317,,6/7
DK784,Veterinary Nursing,399,,445,399,,,,6/7
DK810,Accounting and Finance,305,,401,305,,305,,8
DK816,Business Studies,300,,367,300,,300,,8
DK820,Computing in Games Development,311,,348,311,,311,,8
DK821,Computing in Software Development,302,,361,302,,302,,8
DK822,Augmented and Virtual Reality,304,,380,307,,,,8
DK830,Building Surveying,336,,352,336,,,,8
DK831,Architectural Technology,389,,433,389,,,,8
DK832,Construction Management,387,,419,387,,,,8
DK843,Engineering (Common Entry),340,,439,340,,340,,8
DK844,Mechanical Engineering,305,,448,305,,305,,8
DK845,Electrical & Electronic Engineering,304,,392,304,,304,,8
DK846,Civil Engineering,361,,392,391,,361,,8
DK850,International Tourism Management,317,,377,317,,317,,8
DK860,Music (audition),503,,634,532,,532,,8
DK861,Arts,302,,363,302,,302,,8
DK862,Social Care,301,,347,301,,,,8
DK863,Creative Media,308,,337,308,,308,,8
DK864,Film and Television Production,300,,402,300,,300,,8
DK865,Audio and Music Production,301,,367,301,,,,8
DK870,General Nursing,397,*,419,403,,401,,8
DK872,Intellectual Disability Nursing,336,,358,336,,,,8
DK874,Mental Health Nursing,356,,379,356,,,,8
DK876,Early Childhood Studies,321,,388,321,,,,8
DK877,Midwifery,440,,470,440,,,,8
DK880,Health and Physical Activity,328,,389,328,,,,8
DK882,Agriculture (Award options),310,,380,310,,,,8
DK883,Science (Award options),300,,370,358,,321,,8
DK884,Sustainable Agriculture,,,,,,,,8
DK885,Agri-Food Production,,,,,,,,8
DK886,Biopharmaceutical Science,301,,338,301,,,,8
DK887,Environmental Science,330,,589,330,,,,8
DL701,Business - Applied Entrepreneurship,AQA,,359,AQA,,AQA,,6/7
DL821,"English, Media and Cultural Studies",212,,347,212,,212,,8
DL822,Arts Management,235,,337,229,,229,,8
DL823,Business Management,237,,325,235,,,,8
DL825,Applied Psychology,379,,434,379,,,,8
DL826,Visual Communication Design,855,,1024,855,,,,8
DL827,Art,572,,941,572,,,,8
DL828,"3D Design, Modelmaking and Digital Art",538,,920,506,,,,8
DL829,Design for Stage and Screen (Costume Design),593,,947,593,,,,8
DL830,Design for Stage and Screen (Character Makeup Design),939,,968,939,,,,8
DL831,Design for Stage and Screen (Production Design),781,,1026,781,,,,8
DL832,Animation,920,,1022,920,,,,8
DL833,Photography,667,,854,650,,,,8
DL834,Film and Television Production,990,,1040,990,,,,8
DL836,Creative Computing,219,,300,219,,,,8
DL837,New Media Studies,201,,316,201,,,,8
DL838,Creative Music Production,754,,972,754,,,,8
DL839,Interaction and User Experience Design,683,,990,683,,683,,8
DL840,Digital Marketing,228,,327,228,,228,,8
DL841,English and Equality Studies,276,,341,276,,,,8
DN100,Architecture,510,,541,510,,,,8
DN120,Landscape Architecture,407,,453,407,,,,8
DN130,City Planning and Environmental Policy,390,,432,407,,400,,8
DN150,Engineering (Common Entry),520,*,565,531,,521,,8
DN200,Science (options),533,,567,533,,,,8
DN201,Computer Science (Common Entry),510,,542,510,,,,8
DN230,Actuarial and Financial Studies,601,,613,601,,,,8
DN240,Sustainability,440,,498,440,,,,8
DN250,Agricultural Science (options),453,,488,456,,455,,8
DN252,Dairy Business,410,,455,410,,,,8
DN253,Agri - Environmental Sciences,413,,443,418,,,,8
DN261,Food Science,476,*,495,477,,,,8
DN262,Human Nutrition,531,,553,531,,,,8
DN271,Forestry,311,,359,311,,,,8
DN272,"Horticulture, Landscape and Sportsturf Management",282,,378,297,,282,,8
DN300,Veterinary Medicine - Undergraduate Entry,589,,602,589,,,,8
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),#,,,,,,,8
DN310,Veterinary Nursing,466,*,489,478,,477,,8
DN400,Medicine - Undergraduate Entry (HPAT required),736,*,748,737,,736,*,8
DN401,Medicine - Graduate Entry (GAMSAT required),58,*,61,,,,,8
DN410,Radiography,531,*,543,534,,532,*,8
DN411,Radiography - Graduate Entry,#,,,,,,,8
DN420,Physiotherapy,568,,589,578,,577,*,8
DN425,Health and Performance Science,507,,521,510,,509,*,8
DN430,Sport and Exercise Management,433,,455,455,,445,,8
DN440,"Biomedical, Health and Life Sciences",589,*,601,590,,589,*,8
DN450,General Nursing,421,,445,429,*,424,,8
DN451,Children`s and General Nursing (Integrated),499,,529,509,,506,,8
DN452,Midwifery,473,,499,489,,476,,8
DN453,Mental Health Nursing,393,,412,397,,393,,8
DN520,Joint Honours (options),310,,409,310,,,,8
DN530,Humanities (options),326,,419,340,,336,,8
DN541,Modern Languages (options),300,,443,303,,,,8
DN600,Law (options),543,*,566,546,,544,,8
DN610,Business and Law,544,,577,545,,,,8
DN650,Commerce,521,*,543,521,*,521,*,8
DN660,Commerce International (options),510,*,531,517,,511,,8
DN670,Economics and Finance,613,,625,613,,,,8
DN700,Social Sciences (options),418,,466,421,,419,,8
DN710,Economics,498,*,510,498,*,498,*,8
DN720,Psychology,522,*,543,530,,522,*,8
DN750,Social Policy and Sociology,377,,408,378,,,,8
DS602,Computing and Multimedia (Level 6 - Higher Certificate),198,,367,,,,,6/7
DS603,Computing and Multimedia (Level 6 - Certificate),423,,523,,,,,6/7
DS701,Business,299,,299,,,,,6/7
DS702,Computing and Multimedia (Level 7),290,,413,,,,,6/7
GA160,Business,163,,278,163,,163,,6/7
GA170,Business,250,,420,250,,,,6/7
GA171,Business Information Systems,250,,367,250,,,,6/7
GA172,Rural Enterprise and Agri-Business,277,,382,277,,,,6/7
GA174,Marketing and Sales,282,,377,281,,,,6/7
GA175,Finance,278,,467,278,,,,6/7
GA176,Business with Entrepreneurship,278,,411,278,,,,6/7
GA181,Accounting,309,,403,309,,,,8
GA182,Business,287,,347,287,,,,8
GA183,Business Information Systems,296,,356,296,,,,8
GA184,Marketing and Sales,307,,357,307,,,,8
GA185,Finance and Economics,293,,392,293,,,,8
GA186,Business with Entrepreneurship,280,,356,280,,,,8
GA187,Rural Enterprise and Agri-Business,281,,352,281,,,,8
GA272,Heritage Studies,188,,363,188,,188,,6/7
GA273,Contemporary Art,702,,892,702,,,,6/7
GA274,Design,251,,378,251,,,,6/7
GA281,Film and Documentary,304,,379,304,,,,8
GA282,Heritage Studies,220,,281,220,,,,8
GA283,Contemporary Art,679,,870,679,,,,8
GA284,Design,303,,356,303,,,,8
GA285,"Education (Art, Design and Graphics)",,,,,,,,8
GA360,Business in Tourism,172,,260,172,,172,,6/7
GA361,Culinary Arts,193,,375,193,,,,6/7
GA362,Hotel and Hospitality Operations,228,,330,240,,228,,6/7
GA364,Heritage Studies,252,,369,252,,252,,6/7
GA370,Hotel and Catering Management,198,,362,198,,,,6/7
GA376,Event Management with Public Relations,187,,348,206,,187,,6/7
GA377,International Tourism Management,172,,360,172,,,,6/7
GA378,Culinary and Gastronomic Science,219,,432,219,,,,6/7
GA380,International Hotel Management,242,,330,242,,,,8
GA381,International Tourism Management,278,,350,278,,,,8
GA382,Culinary and Gastronomic Science,206,,337,206,,,,8
GA384,Event Management with Public Relations,212,,328,212,,,,8
GA470,Construction Management,243,,349,244,,243,,6/7
GA471,Quantity Surveying and Construction Economics,200,,347,200,,,,6/7
GA472,Architectural Technology,226,,367,226,,,,6/7
GA473,Civil Engineering,241,,432,241,,,,6/7
GA480,Construction Management,260,,336,260,,,,8
GA482,Quantity Surveying and Construction Economics,288,,350,288,,,,8
GA483,Architectural Technology,265,,337,265,,,,8
GA484,Civil Engineering,290,,383,290,,,,8
GA570,Software and Electronic Engineering,224,,399,224,,,,6/7
GA580,Software and Electronic Engineering,300,,393,300,,,,8
GA670,Mechanical Engineering,265,,413,265,,,,6/7
GA673,Energy Engineering,260,,452,260,,,,6/7
GA674,Biomedical Engineering,298,,455,298,,,,6/7
GA675,Agricultural Engineering,298,,386,298,,,,6/7
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),290,,465,290,,,,6/7
GA677,Manufacturing Engineering Design,235,,379,235,,,,6/7
GA680,Mechanical Engineering,330,,401,330,,,,8
GA681,Energy Engineering,293,,366,293,,,,8
GA682,Biomedical Engineering,313,,393,313,,,,8
GA683,Agricultural Engineering,309,,385,309,,,,8
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,,405,340,,,,8
GA685,Manufacturing Engineering Design,309,,379,309,,,,8
GA770,Applied Freshwater and Marine Biology,280,,388,280,,,,6/7
GA771,Applied Biology and Biopharmaceutical Science,280,,465,280,,,,6/7
GA772,Chemical and Pharmaceutical Science,280,,487,280,,,,6/7
GA773,Physics and Instrumentation,299,,521,299,,,,6/7
GA774,Science (Undenominated),289,,490,289,,,,6/7
GA775,Computing in Software Development,260,,356,260,,,,6/7
GA776,Computing and Digital Media,241,,381,241,,,,6/7
GA777,Agriculture and Environmental Management,281,,393,281,,,,6/7
GA780,Applied Freshwater and Marine Biology,327,,377,327,,,,8
GA781,Applied Biology and Biopharmaceutical Science,337,,390,337,,,,8
GA782,Chemical and Pharmaceutical Science,336,,388,336,,,,8
GA783,Physics and Instrumentation,363,,408,363,,,,8
GA784,Science (Undenominated),372,,403,372,,,,8
GA785,Medical Science,473,,500,473,,,,8
GA786,Forensic Science and Analysis,317,,387,317,,,,8
GA787,Computing in Software Development,270,,315,270,,,,8
GA788,Computing and Digital Media,282,,356,274,,,,8
GA789,Agriculture and Environmental Management,289,,371,287,,,,8
GA790,Sport and Exercise Science,356,,409,356,,,,8
GA791,Public Health Nutrition,368,,409,368,,,,8
GA862,History & Geography,178,,382,178,,,,6/7
GA864,Early Childhood Education and Care,204,,357,214,,204,,6/7
GA870,Outdoor Education and Leisure,171,,399,182,,171,,6/7
GA871,Early Childhood Education and Care,190,,367,190,,,,6/7
GA872,Culture and Environment,196,,328,196,,,,6/7
GA879,Applied Social Care,244,,337,244,,,,6/7
GA880,General Nursing,422,*,441,429,*,422,*,8
GA882,Psychiatric Nursing,367,,377,367,,,,8
GA885,Outdoor Education,252,,262,252,,,,8
GA887,History and Geography,244,,380,244,,,,8
GA889,Applied Social Care,266,,298,266,,,,8
GA890,Early Childhood Education and Care,270,,327,270,,,,8
GA891,Geography and Outdoor Education,244,,391,244,,,,8
GA974,"Furniture Design, Making and Technology - Common Entry",214,,388,214,,,,6/7
GA980,Education (Design Graphics and Construction),377,,411,377,,,,8
GA984,"Furniture Design, Making and Technology - Common Entry",284,,369,284,,,,8
GB001,Business,115,,415,,,,,6/7
GC200,Business Studies,252,,369,252,,252,,8
GC201,Accounting and Finance,303,,388,303,,303,,8
GC230,Computing Science,325,,393,335,,325,,8
GC250,Communications and Media Production,,,,,,,,8
GC300,Business Studies,390,,432,429,,,,8
GC301,Accounting & Finance,253,,346,253,,253,,8
GC302,Business Studies - HRM,,,,,,,,8
GC305,International Hospitality Management,253,,253,253,,253,,8
GC306,International Hospitality Management,253,,253,253,,253,,6/7
GC335,Computing,195,,235,217,,195,,6/7
GC400,Business Studies,248,,281,248,,248,,8
GC401,Accounting and Finance,202,,343,240,,227,,8
GC402,Business Studies (HRM),218,,236,264,,236,,8
GC403,Law,228,,328,244,,228,,8
GC407,Business Studies (Marketing),218,,321,280,,280,,8
GC410,Marketing,145,,371,145,,,,6/7
GC411,Business,135,,370,135,,135,,6/7
GC430,Computing Science,220,,298,252,,220,,8
GC435,Computing,96,,279,AQA,,AQA,,6/7
GC450,Communications and Media Production,254,,280,254,,254,,8
GC460,Music Production for Games (portfolio),,,,,,,,6/7
GC462,Design Communication (portfolio),,,,,,,,8
GC465,Communications,AQA,,349,AQA,,,,6/7
GC466,Film and TV Production,AQA,,339,AQA,,AQA,,6/7
GC470,Photographic Media,169,,279,169,,169,,6/7
GC475,Photography,150,,348,150,,150,,6/7
GC489,Interior Architecture (portfolio),254,,301,254,,,,8
GC490,Interior Design,117,,360,117,,117,,6/7
GC494,Fashion Design (portfolio),217,,412,337,,217,,8
GC495,Fashion,129,,349,129,,129,,6/7
GY101,Arts (Joint-Honours),300,,391,300,,,,8
GY104,Arts (Psychology),519,,542,523,,520,,8
GY105,Arts (History),301,,377,301,,,,8
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,,456,409,,,,8
GY109,Arts (Mathematics and Education),403,,466,403,,,,8
GY110,Arts with Children`s Studies,357,,418,357,,,,8
GY111,Arts with Creative Writing,330,,492,330,,,,8
GY112,Arts with Film Studies,321,,399,321,,,,8
GY113,Arts with Human Rights,368,,422,368,,,,8
GY115,Arts with Performing Arts Studies,387,,443,387,,,,8
GY118,"Arts (Drama, Theatre and Performance Studies)",451,,492,451,,,,8
GY119,Arts (Journalism),400,,465,400,,,,8
GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,,397,350,,,,8
GY121,Arts (Children`s Studies),356,,419,356,,,,8
GY122,Na Dána (Cumarsáid agus Gaeilge),361,,453,361,,,,8
GY123,Applied Social Sciences,358,,410,358,,,,8
GY124,Arts (Arts with Data Science),454,,490,454,,,,8
GY125,Arts (Digital Arts and Technology),328,,347,328,,,,8
GY126,Arts (English and Media Studies),391,,462,391,,,,8
GY127,Arts (Film and Digital Media),401,,462,401,,,,8
GY128,Arts (Global Languages),352,,476,352,,,,8
GY129,Arts (International),420,,462,420,,,,8
GY130,Arts (Music),408,,495,408,,,,8
GY131,Arts (History and Globalisation Studies),360,,440,360,,,,8
GY132,"Government (Politics, Economics and Law)",407,,435,407,,,,8
GY133,Education (Computer Science and Mathematical Studies),422,,498,422,,,,8
GY134,Geography and Geosystems,410,,445,410,,,,8
GY201,Commerce,433,,466,433,,,,8
GY202,Commerce (International) with French,484,,511,484,,,,8
GY203,Commerce (International) with German,489,,566,489,,,,8
GY204,Commerce (International) with Spanish,495,,511,495,,,,8
GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,,488,465,,,,8
GY207,Commerce (Accounting) including optional Global Experience year,509,,543,509,,,,8
GY208,Commerce (Gaeilge),473,,511,473,,,,8
GY209,Commerce (Global Experience),530,,554,530,,,,8
GY250,Law and Business,487,,510,487,,,,8
GY251,Law (BCL),499,,518,499,,,,8
GY252,Law (BCL) and Human Rights,520,,541,520,,,,8
GY253,Law and Taxation,509,,543,509,,,,8
GY254,"Law (BCL), Criminology and Criminal Justice",530,,554,530,,,,8
GY261,"Business Studies (International Hotel Management, interview)",497,,611,497,,,,8
GY262,"Commerce (International Hotel Management, interview)",681,,724,681,,,,8
GY301,Science,432,,487,433,,432,,8
GY303,Biomedical Science,556,,589,556,,,,8
GY304,Biotechnology,465,,498,465,,,,8
GY308,Environmental Science,408,,484,408,,,,8
GY309,Financial Mathematics and Economics,487,,532,487,,,,8
GY310,Marine Science,419,,476,419,,,,8
GY313,Environmental Health and Safety,412,,440,412,,,,8
GY314,Earth and Ocean Sciences,403,,444,403,,,,8
GY318,Biopharmaceutical Chemistry,509,,542,509,,,,8
GY319,Mathematical Science,476,,566,476,,,,8
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,,478,402,,,,8
GY321,Genetics and Genomics,508,,532,508,,,,8
GY350,Computer Science and Information Technology,403,,454,403,,,,8
GY401,Engineering (Undenominated),465,,511,465,,,,8
GY402,Civil Engineering,455,,499,455,,,,8
GY405,Mechanical Engineering,454,,509,454,,,,8
GY406,Electronic and Computer Engineering,510,,544,510,,,,8
GY408,Biomedical Engineering,509,,554,509,,,,8
GY410,Project and Construction Management,403,,456,403,,,,8
GY413,Energy Systems Engineering,502,,531,502,,,,8
GY414,Electrical and Electronic Engineering,405,,429,405,,,,8
GY501,"Medicine (five year/six year course, HPAT required)",728,,731,728,*,,,8
GY502,Occupational Therapy,555,,567,555,,,,8
GY503,Speech and Language Therapy,543,,554,543,,,,8
GY504,Podiatric Medicine,443,,476,443,,,,8
GY515,General Nursing (Galway and Portiuncula),473,,496,476,,473,,8
GY516,Mental Health Nursing,440,,467,440,,,,8
GY517,Midwifery,495,,518,495,,,,8
ID001,Accounting and Finance,203,,253,203,,,,8
ID002,Business Studies,294,,309,294,,,,8
LC110,"Art and Design (Common Entry, portfolio)",740,,961,740,,,,8
LC114,Fashion and Textiles for Product and Costume (portfolio),880,,1029,880,,,,8
LC115,Art and Design Teacher Education (portfolio),942,,1013,942,,,,8
LC220,Digital Marketing,262,,298,262,,,,8
LC221,Accounting and Finance,251,,489,241,,,,6/7
LC222,Marketing and Management,270,,405,270,,,,6/7
LC223,Law and Taxation,307,,356,307,,,,8
LC224,Accounting and Finance,300,,371,300,,,,8
LC225,Marketing and Management,298,,358,298,,,,8
LC226,Enterprise and Innovation,234,,310,234,,234,,8
LC228,Sports Development and Coaching,205,,341,205,,,,6/7
LC230,Business with Computing,217,,386,217,,,,6/7
LC233,Software Development,272,,339,272,,,,8
LC234,Interactive Digital Media,225,,307,225,,,,8
LC235,Internet Systems Development,205,,315,205,,,,6/7
LC236,Internet Systems Development,260,,272,262,,260,,8
LC239,Computer Networks and Systems Management,309,,371,307,,,,8
LC241,Construction Management,255,,338,255,,,,8
LC242,Property Valuation and Management,282,,320,282,,,,8
LC243,Quantity Surveying,298,,362,294,,,,8
LC248,Built Environment (Common Entry),288,,376,288,,,,8
LC251,Civil Engineering,206,,377,206,,,,6/7
LC252,Civil Engineering Management,270,,308,270,,,,8
LC257,Interior Design,264,,378,264,,,,6/7
LC260,Applied Biology,326,,466,326,,,,6/7
LC263,Clinical Technology,294,,359,294,,,,8
LC265,Forensic and Pharmaceutical Sciences,413,,476,413,,,,8
LC266,Drug and Medicinal Product Analysis,262,,300,262,,,,8
LC267,Forensic and Pharmaceutical Sciences,329,,443,329,,,,6/7
LC268,Medical Technology,289,,411,289,,,,6/7
LC270,Music Technology and Production,307,,398,307,,,,6/7
LC271,Electrical Engineering,261,,348,261,,,,6/7
LC275,Electrical Engineering,298,,384,298,,,,8
LC276,Creative Broadcast and Film Production,297,,409,297,,,,6/7
LC277,Industrial Automation and Robotic Systems,232,,342,232,,,,6/7
LC278,Renewable and Electrical Energy Engineering,280,,387,280,,,,6/7
LC279,Electronic Engineering,226,,392,214,,,,6/7
LC281,Automobile Technology,208,,332,208,,,,6/7
LC283,Precision Engineering,233,,296,227,,,,6/7
LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",200,,315,200,,,,6/7
LC285,Mechanical Engineering,272,,455,272,,,,6/7
LC286,Road Transport Technology and Management,264,,360,264,,,,6/7
LC288,Mechanical Engineering,346,,415,347,,346,,8
LC289,Precision Engineering,291,,350,291,,,,8
LC290,Community Sport Development,188,,312,188,,,,6/7
LC292,Social Care Work,367,,389,367,,,,8
LC293,Business Studies with Travel and Tourism Management,307,,356,307,,,,8
LC294,Business Studies with Event Management,279,,347,279,,,,8
LC295,Business Studies with Sports Management,252,,313,252,,,,8
LC297,Community Development,235,,298,235,,,,8
LC320,Business,346,,388,346,,,,8
LC330,Business with Computing,297,,378,297,,,,8
LC336,Computing,222,,337,207,,,,6/7
LC340,Interior Design,350,,391,350,,,,8
LC362,Biotechnology and Biopharmaceutical Sciences,413,,440,413,,,,8
LC371,Creative Broadcast and Film Production,309,,378,309,,,,8
LC372,Music Technology and Production,325,,402,325,,,,8
LC374,Renewable and Electrical Energy Engineering,318,,410,318,,,,8
LC375,Industrial Automation and Robotic Systems,317,,392,317,,,,8
LC376,Electronic Engineering,318,,358,318,,,,8
LC380,Automotive Engineering and Transport Management,298,,337,303,,298,,8
LC392,Business Studies in Beauty and Spa Management,236,,328,236,,,,8
LC393,Early Childhood Education and Care,236,,307,236,,,,8
LC398,Culinary Arts,163,,376,163,,,,6/7
LC399,Hospitality Supervision,148,,300,148,,,,6/7
LC401,Early Childhood Education and Care,297,,298,297,,,,8
LC402,Social Care Work,225,,288,225,,,,8
LC408,Environmental Science and Climate,279,,348,279,,,,8
LC414,Data Analytics and Cyber Security,236,,336,236,,,,8
LC415,Business,197,,444,197,,,,6/7
LC416,Business,274,,391,274,,,,8
LC418,Computing - Games Design and Development,270,,338,270,,,,8
LC422,Sports Strength and Conditioning,298,,347,298,,,,8
LC423,Sports Strength and Conditioning,157,,330,157,,,,6/7
LC425,Environmental Science,278,,399,278,,,,6/7
LC428,Environmental Science and Agriculture,278,,429,278,,,,6/7
LC432,Early Childhood Education and Care,144,,367,144,,,,6/7
LC434,Environmental Science and Agriculture,297,,349,297,,,,8
LC502,Game Art and Design (portfolio),852,,1024,852,,,,8
LC504,Creative Media and Design,192,,378,192,,,,6/7
LC517,Creative Media and Design,234,,327,234,,,,8
