,COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
443,DK877,Midwifery,440,,470,440,,,,8
444,DK880,Health and Physical Activity,328,,389,328,,,,8
445,DK882,Agriculture (Award options),310,,380,310,,,,8
446,DK883,Science (Award options),300,,370,358,,321,,8
447,DK884,Sustainable Agriculture,,,,,,,,8
448,DK885,Agri-Food Production,,,,,,,,8
449,DK886,Biopharmaceutical Science,301,,338,301,,,,8
450,DK887,Environmental Science,330,,589,330,,,,8
451,DL701,Business - Applied Entrepreneurship,AQA,,359,AQA,,AQA,,7
452,DL821,"English, Media and Cultural Studies",212,,347,212,,212,,8
453,DL822,Arts Management,235,,337,229,,229,,8
454,DL823,Business Management,237,,325,235,,,,8
455,DL825,Applied Psychology,379,,434,379,,,,8
456,DL826,Visual Communication Design,855,,1024,855,,,,8
457,DL827,Art,572,,941,572,,,,8
458,DL828,"3D Design, Modelmaking and Digital Art",538,,920,506,,,,8
459,DL829,Design for Stage and Screen (Costume Design),593,,947,593,,,,8
460,DL830,Design for Stage and Screen (Character Makeup Design),939,,968,939,,,,8
461,DL831,Design for Stage and Screen (Production Design),781,,1026,781,,,,8
462,DL832,Animation,920,,1022,920,,,,8
463,DL833,Photography,667,,854,650,,,,8
464,DL834,Film and Television Production,990,,1040,990,,,,8
465,DL836,Creative Computing,219,,300,219,,,,8
466,DL837,New Media Studies,201,,316,201,,,,8
467,DL838,Creative Music Production,754,,972,754,,,,8
468,DL839,Interaction and User Experience Design,683,,990,683,,683,,8
469,DL840,Digital Marketing,228,,327,228,,228,,8
470,DL841,English and Equality Studies,276,,341,276,,,,8
471,DN100,Architecture,510,,541,510,,,,8
472,DN120,Landscape Architecture,407,,453,407,,,,8
473,DN130,City Planning and Environmental Policy,390,,432,407,,400,,8
474,DN150,Engineering (Common Entry),520,*,565,531,,521,,8
475,DN200,Science (options),533,,567,533,,,,8
476,DN201,Computer Science (Common Entry),510,,542,510,,,,8
477,DN230,Actuarial and Financial Studies,601,,613,601,,,,8
478,DN240,Sustainability,440,,498,440,,,,8
479,DN250,Agricultural Science (options),453,,488,456,,455,,8
480,DN252,Dairy Business,410,,455,410,,,,8
481,DN253,Agri - Environmental Sciences,413,,443,418,,,,8
482,DN261,Food Science,476,*,495,477,,,,8
483,DN262,Human Nutrition,531,,553,531,,,,8
484,DN271,Forestry,311,,359,311,,,,8
485,DN272,"Horticulture, Landscape and Sportsturf Management",282,,378,297,,282,,8
486,DN300,Veterinary Medicine - Undergraduate Entry,589,,602,589,,,,8
487,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),#,,,,,,,8
488,DN310,Veterinary Nursing,466,*,489,478,,477,,8
489,DN400,Medicine - Undergraduate Entry (HPAT required),736,*,748,737,,736,*,8
490,DN401,Medicine - Graduate Entry (GAMSAT required),58,*,61,,,,,8
491,DN410,Radiography,531,*,543,534,,532,*,8
492,DN411,Radiography - Graduate Entry,#,,,,,,,8
493,DN420,Physiotherapy,568,,589,578,,577,*,8
494,DN425,Health and Performance Science,507,,521,510,,509,*,8
495,DN430,Sport and Exercise Management,433,,455,455,,445,,8
496,DN440,"Biomedical, Health and Life Sciences",589,*,601,590,,589,*,8
497,DN450,General Nursing,421,,445,429,*,424,,8
498,DN451,Children`s and General Nursing (Integrated),499,,529,509,,506,,8
499,DN452,Midwifery,473,,499,489,,476,,8
500,DN453,Mental Health Nursing,393,,412,397,,393,,8
501,DN520,Joint Honours (options),310,,409,310,,,,8
502,DN530,Humanities (options),326,,419,340,,336,,8
503,DN541,Modern Languages (options),300,,443,303,,,,8
504,DN600,Law (options),543,*,566,546,,544,,8
505,DN610,Business and Law,544,,577,545,,,,8
506,DN650,Commerce,521,*,543,521,*,521,*,8
507,DN660,Commerce International (options),510,*,531,517,,511,,8
508,DN670,Economics and Finance,613,,625,613,,,,8
509,DN700,Social Sciences (options),418,,466,421,,419,,8
510,DN710,Economics,498,*,510,498,*,498,*,8
511,DN720,Psychology,522,*,543,530,,522,*,8
512,DN750,Social Policy and Sociology,377,,408,378,,,,8
513,DS602,Computing and Multimedia (Level 6 - Higher Certificate),198,,367,,,,,6
514,DS603,Computing and Multimedia (Level 6 - Certificate),423,,523,,,,,6
515,DS701,Business,299,,299,,,,,7
516,DS702,Computing and Multimedia (Level 7),290,,413,,,,,7
517,GA160,Business,163,,278,163,,163,,6
518,GA170,Business,250,,420,250,,,,7
519,GA171,Business Information Systems,250,,367,250,,,,7
520,GA172,Rural Enterprise and Agri-Business,277,,382,277,,,,7
521,GA174,Marketing and Sales,282,,377,281,,,,7
522,GA175,Finance,278,,467,278,,,,7
523,GA176,Business with Entrepreneurship,278,,411,278,,,,7
524,GA181,Accounting,309,,403,309,,,,8
525,GA182,Business,287,,347,287,,,,8
526,GA183,Business Information Systems,296,,356,296,,,,8
527,GA184,Marketing and Sales,307,,357,307,,,,8
528,GA185,Finance and Economics,293,,392,293,,,,8
529,GA186,Business with Entrepreneurship,280,,356,280,,,,8
530,GA187,Rural Enterprise and Agri-Business,281,,352,281,,,,8
531,GA272,Heritage Studies,188,,363,188,,188,,7
532,GA273,Contemporary Art,702,,892,702,,,,7
533,GA274,Design,251,,378,251,,,,7
534,GA281,Film and Documentary,304,,379,304,,,,8
535,GA282,Heritage Studies,220,,281,220,,,,8
536,GA283,Contemporary Art,679,,870,679,,,,8
537,GA284,Design,303,,356,303,,,,8
538,GA285,"Education (Art, Design and Graphics)",,,,,,,,8
539,GA360,Business in Tourism,172,,260,172,,172,,6
540,GA361,Culinary Arts,193,,375,193,,,,6
541,GA362,Hotel and Hospitality Operations,228,,330,240,,228,,6
542,GA364,Heritage Studies,252,,369,252,,252,,6
543,GA370,Hotel and Catering Management,198,,362,198,,,,7
544,GA376,Event Management with Public Relations,187,,348,206,,187,,7
545,GA377,International Tourism Management,172,,360,172,,,,7
546,GA378,Culinary and Gastronomic Science,219,,432,219,,,,7
547,GA380,International Hotel Management,242,,330,242,,,,8
548,GA381,International Tourism Management,278,,350,278,,,,8
549,GA382,Culinary and Gastronomic Science,206,,337,206,,,,8
550,GA384,Event Management with Public Relations,212,,328,212,,,,8
551,GA470,Construction Management,243,,349,244,,243,,7
552,GA471,Quantity Surveying and Construction Economics,200,,347,200,,,,7
553,GA472,Architectural Technology,226,,367,226,,,,7
554,GA473,Civil Engineering,241,,432,241,,,,7
555,GA480,Construction Management,260,,336,260,,,,8
556,GA482,Quantity Surveying and Construction Economics,288,,350,288,,,,8
557,GA483,Architectural Technology,265,,337,265,,,,8
558,GA484,Civil Engineering,290,,383,290,,,,8
559,GA570,Software and Electronic Engineering,224,,399,224,,,,7
560,GA580,Software and Electronic Engineering,300,,393,300,,,,8
561,GA670,Mechanical Engineering,265,,413,265,,,,7
562,GA673,Energy Engineering,260,,452,260,,,,7
563,GA674,Biomedical Engineering,298,,455,298,,,,7
564,GA675,Agricultural Engineering,298,,386,298,,,,7
565,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),290,,465,290,,,,7
566,GA677,Manufacturing Engineering Design,235,,379,235,,,,7
567,GA680,Mechanical Engineering,330,,401,330,,,,8
568,GA681,Energy Engineering,293,,366,293,,,,8
569,GA682,Biomedical Engineering,313,,393,313,,,,8
570,GA683,Agricultural Engineering,309,,385,309,,,,8
571,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,,405,340,,,,8
572,GA685,Manufacturing Engineering Design,309,,379,309,,,,8
573,GA770,Applied Freshwater and Marine Biology,280,,388,280,,,,7
574,GA771,Applied Biology and Biopharmaceutical Science,280,,465,280,,,,7
575,GA772,Chemical and Pharmaceutical Science,280,,487,280,,,,7
576,GA773,Physics and Instrumentation,299,,521,299,,,,7
577,GA774,Science (Undenominated),289,,490,289,,,,7
578,GA775,Computing in Software Development,260,,356,260,,,,7
579,GA776,Computing and Digital Media,241,,381,241,,,,7
580,GA777,Agriculture and Environmental Management,281,,393,281,,,,7
581,GA780,Applied Freshwater and Marine Biology,327,,377,327,,,,8
582,GA781,Applied Biology and Biopharmaceutical Science,337,,390,337,,,,8
583,GA782,Chemical and Pharmaceutical Science,336,,388,336,,,,8
584,GA783,Physics and Instrumentation,363,,408,363,,,,8
585,GA784,Science (Undenominated),372,,403,372,,,,8
586,GA785,Medical Science,473,,500,473,,,,8
587,GA786,Forensic Science and Analysis,317,,387,317,,,,8
588,GA787,Computing in Software Development,270,,315,270,,,,8
589,GA788,Computing and Digital Media,282,,356,274,,,,8
590,GA789,Agriculture and Environmental Management,289,,371,287,,,,8
591,GA790,Sport and Exercise Science,356,,409,356,,,,8
592,GA791,Public Health Nutrition,368,,409,368,,,,8
593,GA862,History & Geography,178,,382,178,,,,6
594,GA864,Early Childhood Education and Care,204,,357,214,,204,,6
595,GA870,Outdoor Education and Leisure,171,,399,182,,171,,7
596,GA871,Early Childhood Education and Care,190,,367,190,,,,7
597,GA872,Culture and Environment,196,,328,196,,,,7
598,GA879,Applied Social Care,244,,337,244,,,,7
599,GA880,General Nursing,422,*,441,429,*,422,*,8
600,GA882,Psychiatric Nursing,367,,377,367,,,,8
601,GA885,Outdoor Education,252,,262,252,,,,8
602,GA887,History and Geography,244,,380,244,,,,8
603,GA889,Applied Social Care,266,,298,266,,,,8
604,GA890,Early Childhood Education and Care,270,,327,270,,,,8
605,GA891,Geography and Outdoor Education,244,,391,244,,,,8
606,GA974,"Furniture Design, Making and Technology - Common Entry",214,,388,214,,,,7
607,GA980,Education (Design Graphics and Construction),377,,411,377,,,,8
608,GA984,"Furniture Design, Making and Technology - Common Entry",284,,369,284,,,,8
609,GB001,Business,115,,415,,,,,7
610,GC200,Business Studies,252,,369,252,,252,,8
611,GC201,Accounting and Finance,303,,388,303,,303,,8
612,GC230,Computing Science,325,,393,335,,325,,8
613,GC250,Communications and Media Production,,,,,,,,8
614,GC300,Business Studies,390,,432,429,,,,8
615,GC301,Accounting & Finance,253,,346,253,,253,,8
616,GC302,Business Studies - HRM,,,,,,,,8
617,GC305,International Hospitality Management,253,,253,253,,253,,8
618,GC306,International Hospitality Management,253,,253,253,,253,,7
619,GC335,Computing,195,,235,217,,195,,7
620,GC400,Business Studies,248,,281,248,,248,,8
621,GC401,Accounting and Finance,202,,343,240,,227,,8
622,GC402,Business Studies (HRM),218,,236,264,,236,,8
623,GC403,Law,228,,328,244,,228,,8
624,GC407,Business Studies (Marketing),218,,321,280,,280,,8
625,GC410,Marketing,145,,371,145,,,,7
626,GC411,Business,135,,370,135,,135,,7
627,GC430,Computing Science,220,,298,252,,220,,8
628,GC435,Computing,96,,279,AQA,,AQA,,7
629,GC450,Communications and Media Production,254,,280,254,,254,,8
630,GC460,Music Production for Games (portfolio),,,,,,,,6
631,GC462,Design Communication (portfolio),,,,,,,,8
632,GC465,Communications,AQA,,349,AQA,,,,7
633,GC466,Film and TV Production,AQA,,339,AQA,,AQA,,7
634,GC470,Photographic Media,169,,279,169,,169,,7
635,GC475,Photography,150,,348,150,,150,,6
636,GC489,Interior Architecture (portfolio),254,,301,254,,,,8
637,GC490,Interior Design,117,,360,117,,117,,7
638,GC494,Fashion Design (portfolio),217,,412,337,,217,,8
639,GC495,Fashion,129,,349,129,,129,,7
640,GY101,Arts (Joint-Honours),300,,391,300,,,,8
641,GY104,Arts (Psychology),519,,542,523,,520,,8
642,GY105,Arts (History),301,,377,301,,,,8
643,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,,456,409,,,,8
644,GY109,Arts (Mathematics and Education),403,,466,403,,,,8
645,GY110,Arts with Children`s Studies,357,,418,357,,,,8
646,GY111,Arts with Creative Writing,330,,492,330,,,,8
647,GY112,Arts with Film Studies,321,,399,321,,,,8
648,GY113,Arts with Human Rights,368,,422,368,,,,8
649,GY115,Arts with Performing Arts Studies,387,,443,387,,,,8
650,GY118,"Arts (Drama, Theatre and Performance Studies)",451,,492,451,,,,8
651,GY119,Arts (Journalism),400,,465,400,,,,8
652,GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,,397,350,,,,8
653,GY121,Arts (Children`s Studies),356,,419,356,,,,8
654,GY122,Na Dána (Cumarsáid agus Gaeilge),361,,453,361,,,,8
655,GY123,Applied Social Sciences,358,,410,358,,,,8
656,GY124,Arts (Arts with Data Science),454,,490,454,,,,8
657,GY125,Arts (Digital Arts and Technology),328,,347,328,,,,8
658,GY126,Arts (English and Media Studies),391,,462,391,,,,8
659,GY127,Arts (Film and Digital Media),401,,462,401,,,,8
660,GY128,Arts (Global Languages),352,,476,352,,,,8
661,GY129,Arts (International),420,,462,420,,,,8
662,GY130,Arts (Music),408,,495,408,,,,8
663,GY131,Arts (History and Globalisation Studies),360,,440,360,,,,8
664,GY132,"Government (Politics, Economics and Law)",407,,435,407,,,,8
665,GY133,Education (Computer Science and Mathematical Studies),422,,498,422,,,,8
666,GY134,Geography and Geosystems,410,,445,410,,,,8
667,GY201,Commerce,433,,466,433,,,,8
668,GY202,Commerce (International) with French,484,,511,484,,,,8
669,GY203,Commerce (International) with German,489,,566,489,,,,8
670,GY204,Commerce (International) with Spanish,495,,511,495,,,,8
671,GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,,488,465,,,,8
672,GY207,Commerce (Accounting) including optional Global Experience year,509,,543,509,,,,8
673,GY208,Commerce (Gaeilge),473,,511,473,,,,8
674,GY209,Commerce (Global Experience),530,,554,530,,,,8
675,GY250,Law and Business,487,,510,487,,,,8
676,GY251,Law (BCL),499,,518,499,,,,8
677,GY252,Law (BCL) and Human Rights,520,,541,520,,,,8
678,GY253,Law and Taxation,509,,543,509,,,,8
679,GY254,"Law (BCL), Criminology and Criminal Justice",530,,554,530,,,,8
680,GY261,"Business Studies (International Hotel Management, interview)",497,,611,497,,,,8
681,GY262,"Commerce (International Hotel Management, interview)",681,,724,681,,,,8
682,GY301,Science,432,,487,433,,432,,8
683,GY303,Biomedical Science,556,,589,556,,,,8
684,GY304,Biotechnology,465,,498,465,,,,8
685,GY308,Environmental Science,408,,484,408,,,,8
686,GY309,Financial Mathematics and Economics,487,,532,487,,,,8
687,GY310,Marine Science,419,,476,419,,,,8
688,GY313,Environmental Health and Safety,412,,440,412,,,,8
689,GY314,Earth and Ocean Sciences,403,,444,403,,,,8
690,GY318,Biopharmaceutical Chemistry,509,,542,509,,,,8
691,GY319,Mathematical Science,476,,566,476,,,,8
692,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,,478,402,,,,8
693,GY321,Genetics and Genomics,508,,532,508,,,,8
694,GY350,Computer Science and Information Technology,403,,454,403,,,,8
695,GY401,Engineering (Undenominated),465,,511,465,,,,8
696,GY402,Civil Engineering,455,,499,455,,,,8
697,GY405,Mechanical Engineering,454,,509,454,,,,8
698,GY406,Electronic and Computer Engineering,510,,544,510,,,,8
699,GY408,Biomedical Engineering,509,,554,509,,,,8
700,GY410,Project and Construction Management,403,,456,403,,,,8
701,GY413,Energy Systems Engineering,502,,531,502,,,,8
702,GY414,Electrical and Electronic Engineering,405,,429,405,,,,8
703,GY501,"Medicine (five year/six year course, HPAT required)",728,,731,728,*,,,8
704,GY502,Occupational Therapy,555,,567,555,,,,8
705,GY503,Speech and Language Therapy,543,,554,543,,,,8
706,GY504,Podiatric Medicine,443,,476,443,,,,8
707,GY515,General Nursing (Galway and Portiuncula),473,,496,476,,473,,8
708,GY516,Mental Health Nursing,440,,467,440,,,,8
709,GY517,Midwifery,495,,518,495,,,,8
710,ID001,Accounting and Finance,203,,253,203,,,,8
711,ID002,Business Studies,294,,309,294,,,,8
712,LC110,"Art and Design (Common Entry, portfolio)",740,,961,740,,,,8
713,LC114,Fashion and Textiles for Product and Costume (portfolio),880,,1029,880,,,,8
714,LC115,Art and Design Teacher Education (portfolio),942,,1013,942,,,,8
715,LC220,Digital Marketing,262,,298,262,,,,8
716,LC221,Accounting and Finance,251,,489,241,,,,6
717,LC222,Marketing and Management,270,,405,270,,,,6
718,LC223,Law and Taxation,307,,356,307,,,,8
719,LC224,Accounting and Finance,300,,371,300,,,,8
720,LC225,Marketing and Management,298,,358,298,,,,8
721,LC226,Enterprise and Innovation,234,,310,234,,234,,8
722,LC228,Sports Development and Coaching,205,,341,205,,,,6
723,LC230,Business with Computing,217,,386,217,,,,7
724,LC233,Software Development,272,,339,272,,,,8
725,LC234,Interactive Digital Media,225,,307,225,,,,8
726,LC235,Internet Systems Development,205,,315,205,,,,7
727,LC236,Internet Systems Development,260,,272,262,,260,,8
728,LC239,Computer Networks and Systems Management,309,,371,307,,,,8
729,LC241,Construction Management,255,,338,255,,,,8
730,LC242,Property Valuation and Management,282,,320,282,,,,8
731,LC243,Quantity Surveying,298,,362,294,,,,8
732,LC248,Built Environment (Common Entry),288,,376,288,,,,8
733,LC251,Civil Engineering,206,,377,206,,,,7
734,LC252,Civil Engineering Management,270,,308,270,,,,8
735,LC257,Interior Design,264,,378,264,,,,7
736,LC260,Applied Biology,326,,466,326,,,,7
737,LC263,Clinical Technology,294,,359,294,,,,8
738,LC265,Forensic and Pharmaceutical Sciences,413,,476,413,,,,8
739,LC266,Drug and Medicinal Product Analysis,262,,300,262,,,,8
740,LC267,Forensic and Pharmaceutical Sciences,329,,443,329,,,,7
741,LC268,Medical Technology,289,,411,289,,,,7
742,LC270,Music Technology and Production,307,,398,307,,,,7
743,LC271,Electrical Engineering,261,,348,261,,,,7
744,LC275,Electrical Engineering,298,,384,298,,,,8
745,LC276,Creative Broadcast and Film Production,297,,409,297,,,,7
746,LC277,Industrial Automation and Robotic Systems,232,,342,232,,,,7
747,LC278,Renewable and Electrical Energy Engineering,280,,387,280,,,,7
748,LC279,Electronic Engineering,226,,392,214,,,,7
749,LC281,Automobile Technology,208,,332,208,,,,6
750,LC283,Precision Engineering,233,,296,227,,,,7
751,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",200,,315,200,,,,6
752,LC285,Mechanical Engineering,272,,455,272,,,,7
753,LC286,Road Transport Technology and Management,264,,360,264,,,,7
754,LC288,Mechanical Engineering,346,,415,347,,346,,8
755,LC289,Precision Engineering,291,,350,291,,,,8
756,LC290,Community Sport Development,188,,312,188,,,,7
757,LC292,Social Care Work,367,,389,367,,,,8
758,LC293,Business Studies with Travel and Tourism Management,307,,356,307,,,,8
759,LC294,Business Studies with Event Management,279,,347,279,,,,8
760,LC295,Business Studies with Sports Management,252,,313,252,,,,8
761,LC297,Community Development,235,,298,235,,,,8
762,LC320,Business,346,,388,346,,,,8
763,LC330,Business with Computing,297,,378,297,,,,8
764,LC336,Computing,222,,337,207,,,,7
765,LC340,Interior Design,350,,391,350,,,,8
766,LC362,Biotechnology and Biopharmaceutical Sciences,413,,440,413,,,,8
767,LC371,Creative Broadcast and Film Production,309,,378,309,,,,8
768,LC372,Music Technology and Production,325,,402,325,,,,8
769,LC374,Renewable and Electrical Energy Engineering,318,,410,318,,,,8
770,LC375,Industrial Automation and Robotic Systems,317,,392,317,,,,8
771,LC376,Electronic Engineering,318,,358,318,,,,8
772,LC380,Automotive Engineering and Transport Management,298,,337,303,,298,,8
773,LC392,Business Studies in Beauty and Spa Management,236,,328,236,,,,8
774,LC393,Early Childhood Education and Care,236,,307,236,,,,8
775,LC398,Culinary Arts,163,,376,163,,,,7
776,LC399,Hospitality Supervision,148,,300,148,,,,7
777,LC401,Early Childhood Education and Care,297,,298,297,,,,8
778,LC402,Social Care Work,225,,288,225,,,,8
779,LC408,Environmental Science and Climate,279,,348,279,,,,8
780,LC414,Data Analytics and Cyber Security,236,,336,236,,,,8
781,LC415,Business,197,,444,197,,,,7
782,LC416,Business,274,,391,274,,,,8
783,LC418,Computing - Games Design and Development,270,,338,270,,,,8
784,LC422,Sports Strength and Conditioning,298,,347,298,,,,8
785,LC423,Sports Strength and Conditioning,157,,330,157,,,,7
786,LC425,Environmental Science,278,,399,278,,,,7
787,LC428,Environmental Science and Agriculture,278,,429,278,,,,7
788,LC432,Early Childhood Education and Care,144,,367,144,,,,7
789,LC434,Environmental Science and Agriculture,297,,349,297,,,,8
790,LC502,Game Art and Design (portfolio),852,,1024,852,,,,8
791,LC504,Creative Media and Design,192,,378,192,,,,7
792,LC517,Creative Media and Design,234,,327,234,,,,8
793,LC518,Digital Animation Production (portfolio),808,,939,808,,,,8
794,LC602,Social Care Work,260,,370,260,,,,7
795,LC603,Early Childhood Education and Care,174,,327,147,,,,7
796,LC605,Business,195,,418,195,,,,7
797,LC612,Social Care Work,320,,343,320,,,,8
798,LC613,Early Childhood Education and Care,242,,327,242,,,,8
799,LM002,Arts,348,,410,348,,,,8
800,LM020,Law and Accounting,465,,499,465,,,,8
801,LM026,Performing Arts (audition required),303,,401,303,,,,8
802,LM028,Criminal Justice,418,,440,418,,,,8
803,LM029,Law Plus,490,,521,490,,,,8
804,LM038,Psychology and Sociology,500,,507,500,,,,8
805,LM039,Journalism and Digital Communication,402,,455,402,,,,8
806,LM040,European Studies,369,,488,369,,,,8
807,LM044,Applied Languages,442,,499,442,,,,8
808,LM050,Business Studies (options),431,,476,431,,,,8
809,LM056,International Business,528,,555,528,,,,8
810,LM058,Financial Mathematics,403,,521,403,,,,8
811,LM063,Technology Management,379,,419,379,,,,8
812,LM068,Food Science and Health,421,,454,421,,,,8
813,LM076,Product Design and Technology (portfolio required),408,,487,408,,,,8
814,LM077,Aeronautical Engineering,520,,554,520,,,,8
815,LM082,Construction Management and Engineering,398,,434,398,,,,8
816,LM089,Sport and Exercise Sciences,474,,489,474,,,,8
817,LM090,Physical Education with concurrent Teacher Education,532,*,565,532,*,,,8
818,LM091,Languages with concurrent Teacher Education,517,,543,517,,,,8
819,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,,531,507,,,,8
820,LM093,Equine Science,339,,412,339,,,,8
821,LM094,Materials and Architectural Technology with concurrent Teacher Education,440,,478,440,,,,8
822,LM095,Materials and Engineering Technology with concurrent Teacher Education,367,,421,367,,,,8
823,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,,454,405,,,,8
824,LM097,Mathematics and Computer Science with concurrent Teacher Education,402,,509,402,,,,8
825,LM099,Architecture (portfolio requirement suspended),498,,532,498,,,,8
826,LM100,Physiotherapy,589,*,601,589,*,,,8
827,LM101,Medicine  - Graduate Entry (GAMSAT required),55,*,57,55,*,,,8
828,LM102,Psychology,509,,529,509,,,,8
829,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,,445,392,,,,8
830,LM115,Chemical and Biochemical Engineering,454,,532,454,,,,8
831,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,*,521,476,*,,,8
832,LM118,Electronic and Computer Engineering,403,,489,403,,,,8
833,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,,423,351,,,,8
834,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,,401,327,,,,8
835,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,*,478,441,*,,,8
836,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,,509,437,,,,8
837,LM125,Physics (Applied Physics or Mathematics & Physics),404,,520,404,,,,8
838,LM150,General Nursing,475,*,498,475,*,,,8
839,LM152,Mental Health Nursing,419,*,430,419,*,,,8
840,LM154,Intellectual Disability Nursing,440,,473,420,,,,8
841,LM156,Midwifery,469,,499,469,,,,8
842,LM180,Equine Science,328,,440,337,,,,6
843,LY107,Business - Common Entry,161,,358,161,,161,,7
844,LY108,Business - Accounting,309,,431,309,,,,8
845,LY118,Business,290,,377,290,,,,8
846,LY206,Sports Studies,148,,299,149,,148,,6
847,LY207,Law with Criminal Justice,160,,377,160,,160,,7
848,LY208,Law,300,,367,300,,,,8
849,LY228,Sports and Exercise - Common Entry,300,,367,300,,,,8
850,LY317,Culinary Arts,224,,387,229,,224,,7
851,LY327,Hospitality And Tourism - Common Entry,170,,317,170,,170,,7
852,LY408,Design - Common Entry,320,,381,320,,,,8
853,LY427,Digital Film and Video,172,,307,172,,170,,7
854,LY437,Animation,198,,387,198,,223,,7
855,LY447,Fashion with Promotion,266,,384,266,,279,,7
856,LY457,Graphic and Digital Design,189,,356,179,,204,,7
857,LY507,Quantity Surveying,181,,312,181,,181,,7
858,LY508,Fire Safety Engineering,276,,326,276,,,,8
859,LY518,Quantity Surveying,301,,368,301,,,,8
860,LY527,Civil Engineering,163,,329,165,,163,,7
861,LY528,Construction Management,271,,321,271,,,,8
862,LY607,Electronic Engineering,160,,389,160,,,,7
863,LY608,Mechanical Engineering,300,,379,300,,,,8
864,LY617,Mechanical Engineering,180,,328,180,,180,,7
865,LY618,Electronic Engineering,312,,402,312,,,,8
866,LY707,Computer Games Development,204,,299,204,,,,7
867,LY708,Applied Computing,306,,372,306,,,,8
868,LY717,Computing,160,,350,164,,160,,7
869,LY737,Computer Security and Digital Forensics,169,,348,169,,169,,7
870,LY748,Computer Science,317,,420,317,,317,,8
871,LY806,Pharmacy Technician,232,,377,232,,,,6
872,LY816,Dental Nursing,223,,326,233,,223,,6
873,LY817,Bioscience,248,,420,248,,,,7
874,LY818,Science - Common Entry,303,,409,303,,,,8
875,LY826,Health Science with Physiotherapy Studies,339,,445,456,,401,,6
876,LY828,Agriculture - Common Entry,307,,351,307,,,,8
877,LY836,Health Science with Occupational Therapy Studies,278,,451,473,,408,,6
878,LY837,Food Science and Nutrition,194,,388,194,,194,,7
879,LY846,Health Science with Dietetics Studies,291,,462,316,,316,,6
880,LY847,Veterinary Nursing,367,,399,367,*,367,,7
881,LY867,Pharmaceutical & Medicinal Science,163,,310,163,,163,,7
882,LY877,Agriculture,181,,327,202,,181,,7
883,LY906,"Early Childhood Care, Health and Education",161,,356,205,,161,,6
884,LY908,General Nursing,400,*,423,400,*,,,8
885,LY916,Health and Social Care,181,,336,181,,,,6
886,LY918,Psychiatric Nursing,357,,387,357,*,,,8
887,LY928,Intellectual Disability Nursing,328,,346,326,*,,,8
888,LY968,"Early Childhood Care, Health and Education",303,,361,303,,,,8
889,LY978,Health & Social Care - Common Entry,280,,330,280,,,,8
890,MH001,Education - Primary Teaching (Froebel),507,,531,507,,,,8
891,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,,,,,,8
892,MH101,Arts,318,,388,318,,,,8
893,MH103,Music,#,,#,#,,,,8
894,MH106,Psychology - 3 years,521,,529,521,,,,8
895,MH107,Social Science,346,,388,346,,,,8
896,MH109,Media Studies,316,,377,316,,,,8
897,MH116,Community and Youth Work (Full-Time),#,,#,#,,,,8
898,MH201,Science,360,,418,360,,,,8
899,MH202,Biotechnology,455,,466,455,,,,8
900,MH203,Biological and Geographical Sciences,430,,465,430,,,,8
901,MH204,Physics with Astrophysics,422,,479,422,,,,8
902,MH206,Theoretical Physics and Mathematics,510,,533,510,,,,8
903,MH207,Data Science,445,,520,445,,,,8
904,MH208,Biological and Biomedical Sciences,498,,510,498,,,,8
905,MH209,Psychology (through Science) - 4 years,498,,510,498,,,,8
906,MH210,Pharmaceutical and Biomedical Chemistry,487,,520,487,,,,8
907,MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,,487,422,,,,8
908,MH304,Engineering (Computer/Electronic/Communications),333,,444,333,,333,,8
909,MH305,Product Design,357,,409,357,,,,8
910,MH306,Robotics and Intelligent Devices,361,,433,361,,,,8
911,MH401,Finance (options),357,,398,357,,,,8
912,MH402,Quantitative Finance,476,,509,476,,,,8
913,MH403,Accounting and Finance,422,,468,422,,,,8
914,MH404,Business (options),430,,454,430,,,,8
915,MH405,Equine Business,357,,408,357,,,,8
916,MH407,Business and Accounting,420,,462,420,,,,8
917,MH411,Entrepreneurship,371,,408,371,,,,8
